face	Iniciála	Částka	Zaplaceno	Poznámka
6.06	HK	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
8.06	PS	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
12.06	RL	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
14.06	RL	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
14.06	HK	(700,00 Kč)	1	BUMBU na TB
15.06	PSP	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
15.06	RN	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
15.06	HK	11,00 Kč	1	zůstatek z nákupu bumbu
20.06	LM	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
21.06	RL	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
22.06	HK	20,00 Kč	1	neomluvený pozdní příchod
22.06	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
22.06	LM	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
26.06	RL	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
28.06	RL	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
29.06	RN	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
30.06	HK	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
30.06	PS	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
30.06	PS	5,00 Kč	1	náhodný nález
3.07	LM	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
3.07	RL	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
04.07	RN	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
7.07	PSP	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
10.07	LM	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
10.07	RL	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
11.07	RN	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
13.07	HK	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
